edge_1based,curl_mode_1,curl_mode_2,curl_mode_3,curl_mode_4,curl_mode_5,curl_mode_6,curl_mode_7,curl_mode_8,curl_mode_9,curl_mode_10,curl_mode_11,curl_mode_12
49,-4.6513960921309682e-18,-1.9435333744525931e-17,6.2311620608395131e-17,-8.9710719774971906e-17,-8.8738513654727133e-17,-8.0810187235457854e-17,-8.3797714101343702e-17,-1.7809539596795093e-16,2.1647791429287544e-15,-5.2343366316750455e-16,5.6931357612661471e-18,3.6010643568411141e-18
50,0.067503696205469921,-0.01396102309819182,-0.0032760275350440129,-0.039323898600835447,0.024325091566438521,0.49886932664243094,0.019417284172906193,-0.041864257375837863,0.00016759367114690948,0.017913933252978177,-0.0022769217940653967,0.0055159437858711118
51,-0.06750369620546999,0.013961023098191866,0.0032760275350469342,0.039323898600835738,-0.024325091566438622,-0.49886932664243033,-0.019417284172906182,0.04186425737583787,-0.00016759367114794338,-0.017913933252977906,0.0022769217940655931,-0.0055159437858711118
52,-4.2351647362715017e-21,-2.7755575615628914e-17,-2.0729945537922845e-16,4.163336342344337e-17,-4.8572257327350599e-17,1.4421319645673394e-16,-1.0928757898653885e-16,-9.0205620750793969e-17,-5.5511151231257827e-17,9.7144514654701197e-17,-2.7755575615628914e-17,-0
53,3.1763735522036263e-22,-6.9388939039072284e-18,2.7321894746634712e-17,6.9388939039072284e-17,2.7755575615628914e-17,6.6252818260169925e-17,1.0408340855860843e-17,-2.7755575615628914e-17,1.1102230246251565e-16,-5.5511151231257827e-17,1.474514954580286e-17,-0
54,0.067503696205469907,-0.013961023098191829,-0.0032760275350469424,-0.039323898600835502,0.024325091566438417,-0.49886932664242967,0.019417284172906946,-0.041864257375837849,0.0001675936711480891,0.017913933252977691,-0.002276921794065483,0.0055159437858711118
55,-0.067503696205469976,0.013961023098191833,0.0032760275350440481,0.039323898600835204,-0.024325091566438414,0.49886932664243017,-0.019417284172906776,0.041864257375837856,-0.000167593671147135,-0.01791393325297801,0.0022769217940655064,-0.005515943785871111
56,0.011494699004659242,-0.0040486713145368421,-0.037766082199114259,-0.01079594087686889,0.02499285799452651,-4.252308256222316e-16,-0.024680193533650197,0.017954893918382391,0.21446540873091205,-0.15149374021929415,-0.009553366618238154,-0.038302237512543955
57,0.010636886163999604,-0.003997772196705736,0.058714569543791374,0.011679842674155158,-0.051050540416274812,-1.0120680823116451e-15,0.086951807354026384,0.043350157357549914,0.056259213861400557,0.093340902238543827,0.0059333345655362474,0.027350838600294563
58,-0.037513307553390676,-0.043235428986032526,0.056637796921282541,-0.20871672659550947,0.081965173300701896,3.6983150875792762e-16,0.023293294450511912,-0.039820089966881633,-0.10822516779331279,0.0076275637044001332,0.00060953152883928222,0.0026719575091864334
59,0.00038628338732996179,-0.012426081570578399,-0.0049403220165832526,0.053383325270046793,0.022943564117134909,3.3578909528249404e-16,0.055089126884088839,0.050848448735018328,-0.057421196983141562,-0.037647131534038938,-0.017581781772904485,-0.039892886235933962
60,-0.047145440121418483,-0.03216285872755411,-0.010279470714249266,0.098228358335197372,-0.067433784724500401,3.4760978160296776e-16,-0.054312110988847154,-0.04772523512424158,0.11626167914478759,-0.11013792454594967,-0.0028692457255108175,-0.072469912317462734
61,0.020794019368450808,-0.023615931577676642,-0.054334987424569547,0.022873795282539792,-0.020565621761054496,-7.5299648323812418e-16,-0.000983164531290227,0.097524691523426563,0.014747240383057629,0.088257524635704798,0.010778788399922773,0.12489932396712235
62,0.046263182956996732,0.004651885737110114,-0.099548573774387333,-0.059678486373398731,0.08863656484521612,-5.9148245133039612e-16,-0.032411893738986543,-0.085096223537239279,-0.0046643802000062538,-0.025919552869051343,-0.00062732490218872505,-0.045221894071315077
63,-0.043776179323239038,0.01063552766045713,-0.0064410135390608227,0.02421363880463193,-0.011127584470091934,-2.7423387938163739e-16,-0.069614251719275391,0.11813687691779377,0.040826279745582082,0.13464185095559283,0.0034034598791105423,0.067175197370694439
