edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
19,-0.10929536018105188,-0.028109727801486489,0.030142746220638776,-0.011074382706349521,-0.052244282111545672,0.0034358920520711211,0.019068050530365865,-0.062241818459615864,-0.03524856816130198,-0.090918696080297345,-0.14485370591419294,0.0024492553179253362
20,-0.055935714282628293,0.054321597530993013,0.028768137974584232,0.0044008607832477717,-0.02632419967943701,0.067069183183938758,0.041144062121112976,0.019009143904488962,-0.10795378550624213,-0.045839569853914505,-0.052489518371956534,-0.00074572714949651397
21,0.10458527259871178,-0.12463478651051157,0.029032909906767514,-0.012203784319238541,0.049416006270680504,0.027645058573007447,0.0067429579193067912,-0.002507267729189265,-0.04264195365005527,-0.062223821701479297,-0.15200837159860286,0.0036423868230070419
22,0.072095707927261596,0.039764816655059293,-0.019659923210099635,0.0013209285515426075,0.09900069852522117,0.067352980538013335,0.03761105315604054,-0.060371086707463842,-0.055769827049765033,-0.033772945361428344,-0.087450601446571297,0.0012957578130795185
23,0.057227509305184984,0.03244075495312114,0.099542837002992823,-0.014511736869115804,-0.15970982631096928,0.12463132077492342,-0.007080314598235854,-0.013924985192446926,-0.044862524513438057,-0.033471310014844755,-0.11271642355665176,0.0042552810843536895
24,-0.011739019518207295,-0.079806015968687055,0.031986674523894323,0.021495275368430964,-0.028124506075832487,0.0460181197624841,0.041079191450642011,0.025092316765660518,-0.11757390891071144,0.022100161339194832,0.2458247559217096,-0.0034649312685216833
25,-0.031006788550929636,-0.11093514289027845,0.014288958783968742,-0.075830095778079074,0.078573140881311773,0.14103016753720973,0.068901206456839059,0.0280234786985291,0.093536026166682634,0.011734211134614592,0.13140226629316584,-0.0034793308538144563
26,-0.093312519939769023,-0.053141453138770445,0.025975334514290072,-0.010599732540744079,-0.027749460452769756,0.070985964522642886,-0.0080864279335803313,0.055385747060302665,0.15364498700126974,0.13387155576413418,0.15337966244234019,-0.011534211882265603
27,-0.027228965451951997,0.097075687411208311,0.016893277480287121,0.014777838691585381,-0.034121334406339063,-0.01092815355392706,0.023475364668008928,0.0050671876169911534,0.065862949939854171,-0.014262636077094316,0.062545443884567203,-0.0031099985574369643
28,0.026130680446471967,0.17950701274368791,0.015518669234232604,0.030253082181182531,-0.0082012519742304668,0.052705137577940625,0.04555137625875591,0.086318149981096118,-0.0068422674050860541,0.030816490149288389,0.15490963142680381,-0.0063049810248586623
